Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	Estimates Start After
Botswana	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,199.22"	"1,039.43"	"1,057.51"	"1,126.87"	"1,079.24"	968.951	"1,267.15"	"1,915.11"	"2,398.68"	"2,584.23"	"2,750.81"	"2,673.59"	"2,684.21"	"2,629.78"	"2,755.72"	"2,984.19"	"3,006.15"	"3,025.70"	"2,841.93"	"3,173.69"	"3,301.54"	"3,091.39"	"3,017.70"	"4,119.09"	"4,842.17"	"5,346.04"	"5,347.44"	"5,676.79"	"5,641.18"	"5,206.46"	"6,853.67"	"7,550.72"	"7,154.19"	"7,124.95"	"7,548.19"	"6,771.27"	2008
Brazil	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,283.32"	"1,442.62"	"1,509.07"	"1,184.24"	"1,153.90"	"1,794.23"	"2,040.02"	"2,178.14"	"2,388.90"	"3,222.10"	"3,241.07"	"2,794.19"	"2,633.39"	"2,908.26"	"3,569.46"	"4,950.30"	"5,273.89"	"5,394.64"	"5,197.03"	"3,552.14"	"3,778.99"	"3,183.61"	"2,859.41"	"3,090.53"	"3,659.06"	"4,815.89"	"5,912.96"	"7,374.78"	"8,854.99"	"8,625.13"	"11,298.42"	"13,234.44"	"12,344.23"	"12,259.63"	"11,920.28"	"8,669.65"	2014
Brunei Darussalam	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	"19,979.82"	"11,946.92"	"13,281.59"	"12,241.23"	"13,457.08"	"15,422.57"	"15,773.38"	"17,386.22"	"16,664.55"	"16,140.90"	"18,292.06"	"19,282.33"	"19,120.87"	"14,526.11"	"16,112.08"	"20,511.08"	"18,680.43"	"18,845.72"	"20,821.91"	"24,294.89"	"28,589.06"	"33,253.62"	"34,811.05"	"42,678.82"	"31,287.18"	"35,437.22"	"47,092.30"	"47,640.77"	"44,540.12"	"41,568.80"	"30,993.11"	2015
Bulgaria	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"2,816.94"	"3,028.12"	"3,147.34"	"3,224.87"	"3,420.08"	"2,929.07"	"2,598.34"	"3,024.39"	"4,971.09"	"5,098.87"	"2,266.36"	224.083	918.649	503.846	894.99	"1,513.60"	"1,153.34"	"1,227.57"	"1,631.20"	"1,672.90"	"1,613.33"	"1,791.30"	"2,085.27"	"2,701.60"	"3,362.25"	"3,863.42"	"4,467.21"	"5,859.05"	"7,186.10"	"6,846.32"	"6,654.35"	"7,772.63"	"7,357.13"	"7,685.19"	"7,875.02"	"6,842.91"	2015
Burkina Faso	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	291.122	247.147	224.559	200.148	174.5	200.841	256.789	291.131	312.922	304.845	352.027	346.41	360.937	335.033	195.958	235.596	248.707	228.754	254.991	266.608	226.999	238.338	261.61	331.688	372.562	408.487	421.759	477.536	572.041	555.689	588.584	670.868	677.106	721.928	716.558	614.627	2013
Burundi	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	232.381	234.94	241.083	247.995	218.999	247.644	253.424	231.932	211.184	213.175	207.113	207.674	187.243	162.572	157.474	167.177	142.588	157.054	141.755	137.414	135.447	129.88	117.9	108.967	124.611	149.13	166.657	174.016	201.97	217.263	242.84	260.918	265.913	286.547	318.9	304.31	0
Cabo Verde	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	541.435	522.81	517.666	499.536	466.312	476.329	645.817	783.24	861.862	853.014	957.369	974.873	"1,062.47"	"1,046.27"	"1,149.12"	"1,342.45"	"1,351.81"	"1,292.61"	"1,348.93"	"1,502.10"	"1,332.05"	"1,365.33"	"1,479.59"	"1,908.98"	"2,159.23"	"2,278.17"	"2,566.45"	"3,129.82"	"3,692.00"	"3,524.33"	"3,413.26"	"3,801.45"	"3,463.27"	"3,614.46"	"3,635.21"	"3,056.49"	2014
Cambodia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	29.278	19.468	37.012	45.028	113.39	245.855	289.179	279.018	265.056	319.537	316.188	302.166	267.864	293.699	299.982	320.046	337.501	360.659	405.629	470.683	536.151	627.78	741.855	734.655	781.912	877.635	945.702	"1,010.39"	"1,095.62"	"1,144.49"	2012
Cameroon	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	869.544	957.245	892.923	876.02	901.637	917.213	"1,163.49"	"1,310.33"	"1,292.75"	"1,118.76"	"1,086.12"	"1,174.87"	"1,044.95"	"1,058.31"	699.238	645.162	699.386	687.901	668.314	662.464	580.876	603.292	662.985	807.331	909.429	931.339	979.742	"1,085.19"	"1,208.90"	"1,176.48"	"1,158.78"	"1,271.21"	"1,234.37"	"1,344.71"	"1,423.92"	"1,235.06"	2010
Canada	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"11,155.44"	"12,355.42"	"12,499.47"	"13,441.38"	"13,894.40"	"14,131.19"	"14,479.54"	"16,339.73"	"18,966.34"	"20,763.52"	"21,495.15"	"21,807.26"	"20,915.03"	"20,145.56"	"19,963.30"	"20,641.54"	"21,257.09"	"21,857.61"	"20,975.14"	"22,261.15"	"24,221.27"	"23,777.49"	"24,210.04"	"28,242.19"	"32,075.36"	"36,315.73"	"40,441.77"	"44,599.15"	"46,660.87"	"40,831.10"	"47,512.68"	"52,142.72"	"52,574.87"	"52,345.31"	"50,252.09"	"43,280.33"	2015
Central African Republic	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	313.369	316.495	298.747	279.719	265.441	340.227	431.342	465.181	490.939	474.879	539.656	502.896	489.786	418.922	268.106	340.988	298.443	285.804	296.103	290.99	243.232	242.266	255.649	289.835	322.802	337.641	362.233	413.345	474.39	464.514	456.564	495.035	480.053	329.444	362.872	332.366	2004
Chad	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	167.345	193.153	182.076	177.734	186.265	196.954	236.6	261.657	298.418	274.973	323.311	312.824	318.428	271.777	215.007	248.074	269.041	252.174	277.79	238.555	210.22	252.59	287.299	360.742	567.507	736.904	802.158	911.337	"1,068.91"	930.228	"1,044.50"	"1,161.22"	"1,152.22"	"1,176.48"	"1,236.07"	942.482	2004
Chile	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"2,568.46"	"2,991.38"	"2,194.59"	"1,754.39"	"1,679.53"	"1,418.04"	"1,497.75"	"1,736.13"	"2,012.07"	"2,279.28"	"2,492.74"	"2,817.17"	"3,370.94"	"3,543.52"	"4,017.86"	"5,090.12"	"5,321.97"	"5,733.65"	"5,437.33"	"4,950.72"	"5,064.47"	"4,577.86"	"4,474.20"	"4,804.83"	"6,203.66"	"7,612.43"	"9,473.23"	"10,485.95"	"10,760.32"	"10,197.12"	"12,731.46"	"14,525.89"	"15,199.83"	"15,714.30"	"14,518.86"	"13,341.54"	2014
China	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	309.352	290.627	282.055	298.692	303.408	295.337	282.158	302.198	371.015	409.095	348.652	358.826	423.031	525.705	472.666	608.377	708.577	780.852	827.642	872.225	958.58	"1,053.14"	"1,150.23"	"1,293.13"	"1,512.64"	"1,765.75"	"2,110.55"	"2,703.15"	"3,467.36"	"3,838.14"	"4,523.95"	"5,582.93"	"6,329.41"	"7,080.96"	"7,718.59"	"8,140.98"	2015
Colombia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,644.64"	"1,752.72"	"1,836.67"	"1,786.85"	"1,728.19"	"1,587.19"	"1,557.08"	"1,587.58"	"1,676.40"	"1,656.05"	"1,653.13"	"1,673.89"	"1,941.93"	"2,159.59"	"2,665.58"	"2,967.15"	"3,066.62"	"3,322.99"	"3,021.49"	"2,613.62"	"2,478.54"	"2,406.05"	"2,369.91"	"2,261.58"	"2,763.70"	"3,416.90"	"3,749.84"	"4,722.94"	"5,495.98"	"5,200.05"	"6,305.29"	"7,284.99"	"7,930.75"	"8,067.94"	"7,942.26"	"6,059.60"	2015
Comoros	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	429.869	367.044	340.104	322.463	307.777	303.118	398.188	466.449	477.398	442.712	541.682	581.286	615.15	596.546	390.844	477.158	464.134	418.543	416.315	421.218	374.641	399.109	446.955	564.642	611.852	646.024	658.626	737.819	819.412	801.496	789.466	860.243	815.057	872.764	880.825	736.406	2015
Democratic Republic of the Congo	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"2,389.50"	"2,013.74"	"2,119.59"	"1,654.97"	"1,069.07"	945.84	"1,027.32"	941.553	"1,056.05"	"1,040.31"	"1,043.39"	980.857	857.123	"1,083.62"	569.18	535.473	669.972	589.051	422.612	376.174	363.867	151.345	156.764	156.295	175.255	196.635	228.375	253.789	288.033	267.744	292.955	338.627	368.785	424.418	452.93	469.959	1983
Republic of Congo	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,304.11"	"1,037.09"	877.108	773.608	690.006	686.4	910.745	"1,073.35"	"1,107.71"	"1,101.25"	"1,253.99"	"1,184.75"	"1,237.13"	"1,098.79"	703.251	816.99	980.873	871.483	710.868	835.269	"1,108.87"	935.167	982.232	"1,107.12"	"1,429.79"	"1,820.20"	"2,244.92"	"2,370.06"	"3,264.39"	"2,560.98"	"3,112.53"	"3,629.42"	"3,342.56"	"3,222.76"	"3,170.60"	"2,024.40"	2004
Costa Rica	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"2,153.19"	"1,134.77"	"1,094.52"	"1,283.85"	"1,451.11"	"1,509.52"	"1,645.28"	"1,646.55"	"1,631.71"	"1,800.64"	"1,920.38"	"2,353.80"	"2,756.13"	"3,019.19"	"3,211.40"	"3,463.94"	"3,408.76"	"3,599.37"	"3,860.29"	"4,222.65"	"4,293.58"	"4,256.63"	"4,296.02"	"4,397.75"	"4,594.76"	"4,858.94"	"5,401.11"	"6,221.39"	"6,950.39"	"6,744.44"	"8,213.20"	"9,212.37"	"9,988.94"	"10,520.49"	"10,350.08"	"10,904.77"	2011
C?e d'Ivoire	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,256.06"	"1,017.80"	879.17	754.949	732.215	719.028	926.035	980.698	981.957	903.105	960.021	897.078	917.393	826.925	604.257	777.02	833.682	792.009	827.453	788.126	666.208	676.74	729.528	880.13	927.168	933.024	946.725	"1,055.08"	"1,228.52"	"1,197.48"	"1,195.44"	"1,200.78"	"1,221.00"	"1,388.45"	"1,473.27"	"1,325.16"	2012
Croatia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"2,589.33"	"2,804.46"	"3,834.63"	"5,027.75"	"5,251.62"	"5,243.55"	"5,631.13"	"5,132.66"	"4,969.95"	"5,406.11"	"6,249.62"	"8,063.95"	"9,375.86"	"10,231.03"	"11,373.23"	"13,564.98"	"15,910.19"	"14,152.33"	"13,498.46"	"14,531.16"	"13,233.42"	"13,568.92"	"13,490.02"	"11,572.89"	2015
Cyprus	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"4,543.72"	"4,346.89"	"4,446.93"	"4,393.55"	"4,569.75"	"4,818.45"	"6,050.09"	"7,178.95"	"8,193.72"	"8,624.63"	"10,346.64"	"10,400.30"	"12,142.92"	"11,327.78"	"12,509.17"	"15,377.24"	"15,235.08"	"14,267.06"	"15,140.60"	"15,309.30"	"14,391.84"	"14,813.92"	"16,092.32"	"20,257.79"	"23,815.40"	"25,368.44"	"27,240.38"	"31,526.57"	"35,681.35"	"32,301.58"	"30,968.53"	"32,388.32"	"29,035.10"	"27,708.99"	"26,938.63"	"22,822.03"	2015
Czech Republic	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"5,759.97"	"6,471.71"	"5,975.51"	"6,441.99"	"6,289.77"	"5,981.08"	"6,584.78"	"8,007.32"	"9,744.45"	"11,669.13"	"13,333.86"	"15,181.86"	"18,393.74"	"22,769.35"	"19,744.56"	"19,787.29"	"21,736.84"	"19,739.90"	"19,912.51"	"19,768.84"	"17,569.89"	2015
Denmark	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"13,888.99"	"12,079.02"	"11,803.25"	"11,853.92"	"11,563.58"	"12,263.83"	"17,220.11"	"21,353.57"	"22,531.23"	"21,918.31"	"26,922.44"	"27,060.38"	"29,631.34"	"27,643.45"	"30,054.14"	"35,477.69"	"35,734.72"	"32,901.28"	"33,429.55"	"33,491.68"	"30,804.46"	"30,812.05"	"33,277.95"	"40,519.86"	"46,546.23"	"48,893.25"	"52,137.04"	"58,655.29"	"64,390.56"	"58,018.21"	"57,782.72"	"61,413.56"	"58,240.55"	"60,494.27"	"61,507.91"	"52,138.90"	2015
